2023-10-07 21:58:14,874 - 'j'
2023-10-07 21:58:14,889 - 'h'
2023-10-07 21:58:14,925 - 'd'
2023-10-07 21:58:14,967 - 'b'
2023-10-07 21:58:15,085 - 'h'
2023-10-07 21:58:15,157 - 'b'
2023-10-07 21:58:15,993 - Key.backspace
2023-10-07 21:58:16,162 - Key.backspace
2023-10-07 21:58:16,319 - Key.backspace
2023-10-07 21:58:16,462 - Key.backspace
2023-10-07 21:58:16,617 - Key.backspace
2023-10-07 21:58:16,763 - Key.backspace
2023-10-07 22:01:43,747 - 'h'
2023-10-07 22:01:44,516 - 'd'
2023-10-07 22:01:44,955 - 'd'
2023-10-07 22:02:30,519 - 'j'
2023-10-07 22:02:31,366 - 'g'
2023-10-07 22:02:31,743 - 'h'
2023-10-07 22:02:33,137 - 's'
2023-10-07 22:02:33,610 - 'j'
2023-10-07 22:02:34,134 - 's'
2023-10-07 22:02:35,334 - 'j'
2023-10-07 22:02:35,860 - 's'
2023-10-07 22:02:36,383 - 'j'
2023-10-07 22:02:37,369 - 's'
2023-10-07 22:02:37,569 - 's'
2023-10-07 22:02:38,226 - Key.backspace
2023-10-07 22:02:38,372 - Key.backspace
2023-10-07 22:02:38,541 - Key.backspace
2023-10-07 22:02:38,702 - Key.backspace
2023-10-07 22:02:38,857 - Key.backspace
2023-10-07 22:02:39,020 - Key.backspace
2023-10-07 22:02:39,173 - Key.backspace
2023-10-07 22:02:39,327 - Key.backspace
2023-10-07 22:02:39,490 - Key.backspace
2023-10-07 22:02:39,660 - Key.backspace
2023-10-07 22:02:40,200 - Key.backspace
2023-10-07 22:03:02,928 - 'j'
2023-10-07 22:03:04,177 - 'k'
2023-10-07 22:03:04,771 - 'o'
2023-10-07 22:03:05,751 - Key.backspace
2023-10-07 22:03:05,964 - Key.backspace
2023-10-07 22:03:06,142 - Key.backspace
2023-10-08 17:21:10,713 - 'j'
2023-10-08 17:21:11,717 - 's'
2023-10-08 17:21:12,843 - 'n'
2023-10-08 17:21:13,953 - 'c'
2023-10-08 17:21:15,493 - Key.backspace
2023-10-08 17:21:15,680 - Key.backspace
2023-10-08 17:21:15,836 - Key.backspace
2023-10-08 17:21:15,997 - Key.backspace
2023-10-08 17:21:18,066 - Key.ctrl_l
2023-10-08 17:21:18,559 - Key.ctrl_l
2023-10-08 17:21:18,590 - Key.ctrl_l
2023-10-08 17:21:18,627 - Key.ctrl_l
2023-10-08 17:21:18,658 - Key.ctrl_l
2023-10-08 17:21:18,674 - '\x03'
2023-10-08 17:21:21,597 - Key.ctrl_l
2023-10-08 17:21:21,967 - '\x03'
2023-10-08 17:21:22,129 - '\x03'
2023-10-08 17:21:22,283 - '\x03'
2023-10-08 17:21:22,436 - '\x03'
2023-10-08 17:21:22,584 - '\x03'
2023-10-08 17:21:22,731 - '\x03'
