2023-10-08 17:59:48,450 - Key.backspace
2023-10-08 17:59:49,785 - Key.ctrl_l
2023-10-08 17:59:50,287 - Key.ctrl_l
2023-10-08 17:59:50,334 - Key.ctrl_l
2023-10-08 17:59:50,357 - Key.ctrl_l
2023-10-08 17:59:50,388 - Key.ctrl_l
2023-10-08 17:59:50,419 - Key.ctrl_l
2023-10-08 17:59:50,457 - Key.ctrl_l
2023-10-08 17:59:50,488 - Key.ctrl_l
2023-10-08 17:59:50,520 - Key.ctrl_l
2023-10-08 17:59:50,557 - Key.ctrl_l
2023-10-08 17:59:50,588 - Key.ctrl_l
2023-10-08 17:59:50,620 - Key.ctrl_l
2023-10-08 17:59:50,658 - Key.ctrl_l
2023-10-08 17:59:50,689 - Key.ctrl_l
2023-10-08 17:59:50,720 - Key.ctrl_l
2023-10-08 17:59:50,742 - Key.ctrl_l
2023-10-08 17:59:50,774 - Key.ctrl_l
2023-10-08 17:59:50,805 - Key.ctrl_l
2023-10-08 17:59:50,842 - Key.ctrl_l
2023-10-08 17:59:50,874 - Key.ctrl_l
2023-10-08 17:59:50,905 - Key.ctrl_l
2023-10-08 17:59:50,943 - Key.ctrl_l
2023-10-08 17:59:50,974 - Key.ctrl_l
2023-10-08 17:59:51,011 - Key.ctrl_l
2023-10-08 17:59:51,043 - Key.ctrl_l
2023-10-08 17:59:51,074 - Key.ctrl_l
2023-10-08 17:59:51,106 - Key.ctrl_l
2023-10-08 17:59:51,143 - Key.ctrl_l
2023-10-08 17:59:51,175 - Key.ctrl_l
2023-10-08 17:59:51,206 - Key.ctrl_l
2023-10-08 17:59:51,221 - '\x13'
2023-10-08 17:59:51,438 - '\x13'
2023-10-08 18:01:14,362 - 'i'
2023-10-08 18:01:14,363 - 'i'
2023-10-08 18:01:14,371 - 's'
2023-10-08 18:01:14,372 - 's'
2023-10-08 18:01:14,374 - 'u'
2023-10-08 18:01:14,374 - 'u'
2023-10-08 18:01:14,452 - 'd'
2023-10-08 18:01:14,452 - 'd'
2023-10-08 18:01:14,479 - 'h'
2023-10-08 18:01:14,479 - 'h'
2023-10-08 18:01:14,588 - 'i'
2023-10-08 18:01:14,589 - 'i'
2023-10-08 18:01:14,596 - 'u'
2023-10-08 18:01:14,644 - 's'
2023-10-08 18:01:14,644 - 's'
2023-10-08 18:01:14,657 - 'h'
2023-10-08 18:01:14,657 - 'h'
2023-10-08 18:01:14,733 - 'c'
2023-10-08 18:01:14,733 - 'c'
2023-10-08 18:01:15,418 - Key.backspace
2023-10-08 18:01:15,418 - Key.backspace
2023-10-08 18:01:15,568 - Key.backspace
2023-10-08 18:01:15,568 - Key.backspace
2023-10-08 18:01:15,711 - Key.backspace
2023-10-08 18:01:15,711 - Key.backspace
2023-10-08 18:01:15,839 - Key.backspace
2023-10-08 18:01:15,839 - Key.backspace
2023-10-08 18:01:15,983 - Key.backspace
2023-10-08 18:01:15,983 - Key.backspace
2023-10-08 18:01:16,112 - Key.backspace
2023-10-08 18:01:16,112 - Key.backspace
2023-10-08 18:01:16,249 - Key.backspace
2023-10-08 18:01:16,249 - Key.backspace
2023-10-08 18:01:16,375 - Key.backspace
2023-10-08 18:01:16,375 - Key.backspace
2023-10-08 18:01:16,506 - Key.backspace
2023-10-08 18:01:16,506 - Key.backspace
2023-10-08 18:01:16,658 - Key.backspace
